colis_id,poids_kg,volume_m3,fragilite_0_10,valeur_estimee_ar,delai_express,categorie_declaree,designation,profil_source
COL-0001,21.48,0.591,5,235000,0,Standard,Chaussures en carton,volumineux_moyen
COL-0002,3.39,0.08,8,20000,1,Fragile-Valeur,Lingots artisanat argent,leger_valeur
COL-0003,5.0,0.682,3,40000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0004,75.34,0.873,1,161000,0,Standard,Sable et gravats conditionnés,lourd_robuste
COL-0005,0.82,0.017,8,341000,0,Express,Vanille Sambava,leger_valeur
COL-0006,8.18,0.894,7,152000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0007,8.46,0.274,4,279000,0,Standard,Chaussures en carton,volumineux_moyen
COL-0008,4.0,0.055,5,566000,1,Express,Bijouterie artisanale,leger_valeur
COL-0009,4.04,0.077,7,357000,1,Fragile-Valeur,Vanille Sambava,leger_valeur
COL-0010,2.36,0.022,4,10000,1,Express,Vaccins et produits réfrigérés,express_petit
COL-0011,0.96,0.019,4,268000,0,Express,Échantillons pharmaceutiques,leger_valeur
COL-0012,58.6,1.356,2,107000,0,Standard,Pièces détachées lourdes,lourd_robuste
COL-0013,0.76,0.013,7,10000,1,Express,Prélèvements laboratoire,express_petit
COL-0014,0.35,0.126,8,20000,1,Fragile-Valeur,Bijouterie artisanale,leger_valeur
COL-0015,6.27,0.351,2,65000,0,Standard,Mobilier léger en bois,volumineux_moyen
COL-0016,17.73,0.667,4,142000,1,Express,Textile lamba et tissus,volumineux_moyen
COL-0017,9.8,2.33,1,36000,0,Fragile-Valeur,Groupe électrogène,outlier
COL-0018,6.35,0.036,9,773000,0,Fragile-Valeur,Documents administratifs Tana,leger_valeur
COL-0019,20.32,0.5,2,111000,0,Standard,Chaussures en carton,volumineux_moyen
COL-0020,1.13,0.016,7,148000,1,Express,Colis pharmacie de garde,express_petit
COL-0021,0.36,0.002,9,5327000,0,Express,Équipement médical spécialisé,outlier
COL-0022,72.4,0.69,7,1023000,0,Express,Instrument de musique,outlier
COL-0023,67.74,1.577,2,117000,0,Standard,Pièces détachées lourdes,lourd_robuste
COL-0024,22.95,0.536,7,109000,0,Standard,Cartons de vaisselle,volumineux_moyen
COL-0025,1.73,0.045,7,234000,0,Express,Vanille Sambava,leger_valeur
COL-0026,0.73,0.017,4,48000,1,Express,Colis pharmacie de garde,express_petit
COL-0027,7.87,1.608,0,49000,0,Standard,Équipement médical spécialisé,outlier
COL-0028,83.39,0.805,2,171000,0,Standard,Riz 50kg,lourd_robuste
COL-0029,4.84,0.006,6,489000,1,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0030,14.35,0.417,4,153000,0,Express,Jouets et articles ménagers,volumineux_moyen
COL-0031,34.92,0.219,10,3154000,0,Standard,Drone professionnel,outlier
COL-0032,5.0,0.6,2,107000,0,Standard,Literie et couettes,volumineux_moyen
COL-0033,2.11,0.026,6,84000,1,Express,Documents contractuels urgents,express_petit
COL-0034,56.11,0.36,2,190000,0,Standard,Sacs de charbon,lourd_robuste
COL-0035,3.85,0.026,8,35000,0,Fragile-Valeur,Montres et accessoires,leger_valeur
COL-0036,29.38,0.46,5,99000,0,Express,Jouets et articles ménagers,volumineux_moyen
COL-0037,1.36,0.025,4,154000,1,Express,Pièces détachées moto urgentes,express_petit
COL-0038,0.2,0.051,9,20000,0,Fragile-Valeur,Composants électroniques,leger_valeur
COL-0039,26.73,0.817,1,179000,0,Standard,Sable et gravats conditionnés,lourd_robuste
COL-0040,3.56,0.049,8,650000,0,Fragile-Valeur,Téléphones reconditionnés,leger_valeur
COL-0041,11.09,0.305,2,40000,0,Express,Literie et couettes,volumineux_moyen
COL-0042,2.36,0.03,4,939000,0,Fragile-Valeur,Lingots artisanat argent,leger_valeur
COL-0043,0.3,0.002,8,5761000,0,Standard,Instrument de musique,outlier
COL-0044,121.07,1.335,0,130000,0,Standard,Sacs de charbon,lourd_robuste
COL-0045,1.04,0.055,6,442000,0,Fragile-Valeur,Cartes SIM et accessoires télécom,leger_valeur
