colis_id,poids_kg,volume_m3,fragilite_0_10,valeur_estimee_ar,delai_express,categorie_declaree,designation,profil_source
LOT-L-0000,4.21,0.074,8,760788,0,A,Documents admin Tana,leger_valeur
LOT-L-0001,7.6,0.065,9,2136093,1,A,Composants electroniques,leger_valeur
LOT-L-0002,91.6,1.483,3,154242,1,C,Instrument de musique,outlier
LOT-L-0003,65.55,0.519,3,110650,0,C,Toles galvanisees,lourd_robuste
LOT-L-0004,63.53,1.217,2,97576,0,C,Sacs de riz,lourd_robuste
LOT-L-0005,19.47,0.456,5,107374,0,B,Textile lamba et tissus,volumineux_moyen
LOT-L-0006,3.5,0.106,9,3559236,0,A,Bijouterie artisanale,leger_valeur
LOT-L-0007,4.5,0.314,2,222518,0,B,Textile lamba et tissus,volumineux_moyen
LOT-L-0008,18.15,0.657,5,38418,1,B,Chaussures en carton,volumineux_moyen
LOT-L-0009,13.63,0.644,3,90007,0,B,Textile lamba et tissus,volumineux_moyen
LOT-L-0010,98.45,1.036,0,122730,0,C,Briques et materiaux,lourd_robuste
LOT-L-0011,5.66,0.019,7,4070905,0,A,Bijouterie artisanale,leger_valeur
LOT-L-0012,14.97,0.787,6,153353,0,B,Chaussures en carton,volumineux_moyen
LOT-L-0013,7.14,0.508,5,69967,0,B,Textile lamba et tissus,volumineux_moyen
LOT-L-0014,22.28,0.457,5,188192,0,B,Chaussures en carton,volumineux_moyen
LOT-L-0015,10.66,0.474,6,266712,0,B,Chaussures en carton,volumineux_moyen
LOT-L-0016,8.87,0.509,5,139365,0,B,Textile lamba et tissus,volumineux_moyen
LOT-L-0017,53.36,0.845,2,51441,0,C,Toles galvanisees,lourd_robuste
LOT-L-0018,9.56,0.581,3,149847,0,B,Textile lamba et tissus,volumineux_moyen
LOT-L-0019,1.99,0.017,8,709110,0,A,Documents admin Tana,leger_valeur
LOT-L-0020,0.62,0.044,4,49231,1,B,Colis pharmacie de garde,express_petit
